antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Latte'}),frozenset({'Galleta de Avena'}),0.178,0.126,0.05466666666666667,0.3071161048689139,2.4374294037215387,1.0,0.032238666666666665,1.2613945945945948,0.7174351670524004,0.21925133689839574,0.2072266646097413,0.3704892693656739
frozenset({'Galleta de Avena'}),frozenset({'Latte'}),0.126,0.178,0.05466666666666667,0.4338624338624339,2.4374294037215387,1.0,0.032238666666666665,1.4519439252336452,0.6747502372048891,0.21925133689839574,0.3112681677158563,0.3704892693656739
frozenset({'Capuchino'}),frozenset({'Galleta de Avena'}),0.176,0.126,0.052,0.29545454545454547,2.344877344877345,1.0,0.029824,1.240516129032258,0.6960418222554144,0.208,0.19388391928437695,0.3540764790764791
frozenset({'Galleta de Avena'}),frozenset({'Capuchino'}),0.126,0.176,0.052,0.4126984126984127,2.344877344877345,1.0,0.029824,1.403027027027027,0.6562224960394297,0.208,0.28725535521652024,0.3540764790764791
frozenset({'Tinto'}),frozenset({'Empanada'}),0.4026666666666667,0.196,0.14,0.34768211920529807,1.773888363292337,1.0,0.061077333333333345,1.2325279187817262,0.7303571428571429,0.3052325581395349,0.1886593522453956,0.5309839167455062
frozenset({'Empanada'}),frozenset({'Tinto'}),0.196,0.4026666666666667,0.14,0.7142857142857143,1.7738883632923368,1.0,0.061077333333333345,2.0906666666666665,0.542620232172471,0.3052325581395349,0.5216836734693878,0.5309839167455062
frozenset({'Tinto'}),frozenset({'Pan de Bono'}),0.4026666666666667,0.20666666666666667,0.14466666666666667,0.35927152317880795,1.7384105960264902,1.0,0.061448888888888886,1.2381739879414297,0.7110969387755103,0.3113342898134864,0.1923590628304302,0.529635761589404
frozenset({'Pan de Bono'}),frozenset({'Tinto'}),0.20666666666666667,0.4026666666666667,0.14466666666666667,0.7,1.73841059602649,1.0,0.061448888888888886,1.9911111111111106,0.5354141656662664,0.3113342898134864,0.4977678571428571,0.529635761589404
